state_name	state_ab	county_name	county_state	rep_id	party	count	pct	candidate_idx	last	first	win_row_flag	fips	name	reporting	METRO_FLAG	POULATION	VIOLENT_CRIME	CRIMES_PER_THOUSAND	MURDER_NON_NEGLIGENT_MANSLAUGHTER	RAPE_REVISED_DEFINITION	RAPE_LEGACTY_DEFINITION	ROBBERY	AGGRAVATED_ASSAULT	PROPERTY_CRIME	BURGLARY	LARCENY_THEFT	MOTOR_VEHICLE_THEFT	ARSON
South Carolina	SC	Abbeville	Abbeville SC	SC482361108	GOP	6742	62.9	2	Trump	Donald	1	45001	Abbeville	100	Nonmetropolitan Counties	24,932	22	0.8824	2	6	NA	0	14	286	118	154	14	3
South Carolina	SC	Abbeville	Abbeville SC	SC482511108	Lib	128	1.2	3	Johnson	Gary	0	45001	Abbeville	100	Nonmetropolitan Counties	24,932	22	0.8824	2	6	NA	0	14	286	118	154	14	3
South Carolina	SC	Abbeville	Abbeville SC	SC482351108	Dem	3712	34.6	1	Clinton	Hillary	0	45001	Abbeville	100	Nonmetropolitan Counties	24,932	22	0.8824	2	6	NA	0	14	286	118	154	14	3
South Carolina	SC	Abbeville	Abbeville SC	SC482531108	Grn	36	0.3	4	Stein	Jill	0	45001	Abbeville	100	Nonmetropolitan Counties	24,932	22	0.8824	2	6	NA	0	14	286	118	154	14	3
Louisiana	LA	Acadia	Acadia LA	LA243521108	GOP	21159	77.3	2	Trump	Donald	1	22001	Acadia	100	Metropolitan Counties	62,577	63	1.0068	1	0	NA	16	46	637	217	379	41	0
Louisiana	LA	Acadia	Acadia LA	LA244551108	Lib	281	1	3	Johnson	Gary	0	22001	Acadia	100	Metropolitan Counties	62,577	63	1.0068	1	0	NA	16	46	637	217	379	41	0
Louisiana	LA	Acadia	Acadia LA	LA244591108	Grn	106	0.4	4	Stein	Jill	0	22001	Acadia	100	Metropolitan Counties	62,577	63	1.0068	1	0	NA	16	46	637	217	379	41	0
Louisiana	LA	Acadia	Acadia LA	LA243511108	Dem	5638	20.6	1	Clinton	Hillary	0	22001	Acadia	100	Metropolitan Counties	62,577	63	1.0068	1	0	NA	16	46	637	217	379	41	0
Virginia	VA	Accomack	Accomack VA	VA514171108	Grn	62	0.4	4	Stein	Jill	0	51001	Accomack	100	Nonmetropolitan Counties	32,973	60	1.8197	4	16	NA	19	21	376	110	240	26	0
Virginia	VA	Accomack	Accomack VA	VA513721108	Dem	6737	42.8	1	Clinton	Hillary	0	51001	Accomack	100	Nonmetropolitan Counties	32,973	60	1.8197	4	16	NA	19	21	376	110	240	26	0
Virginia	VA	Accomack	Accomack VA	VA514151108	Lib	262	1.7	3	Johnson	Gary	0	51001	Accomack	100	Nonmetropolitan Counties	32,973	60	1.8197	4	16	NA	19	21	376	110	240	26	0
Virginia	VA	Accomack	Accomack VA	VA513731108	GOP	8582	54.5	2	Trump	Donald	1	51001	Accomack	100	Nonmetropolitan Counties	32,973	60	1.8197	4	16	NA	19	21	376	110	240	26	0
Idaho	ID	Ada	Ada ID	ID187181108	GOP	93748	47.9	2	Trump	Donald	1	16001	Ada	100	Metropolitan Counties	434,211	196	0.4514	3	41	NA	9	143	716	209	486	21	11
