,county_state,X,rep_id,party,count,pct,candidate_idx,last,first,win_row_flag,fips,name,reporting,state,STATE,STATE_ABB,STATE_LOWER,COUNTY,COUNTY_STATE,METRO_FLAG,POULATION,VIOLENT_CRIME,CRIMES_PER_THOUSAND,MURDER_NON_NEGLIGENT_MANSLAUGHTER,RAPE_REVISED_DEFINITION,RAPE_LEGACTY_DEFINITION,ROBBERY,AGGRAVATED_ASSAULT,PROPERTY_CRIME,BURGLARY,LARCENY_THEFT,MOTOR_VEHICLE_THEFT,ARSON
1,Abbeville SC,8697,SC482361108,GOP,6742,62.9,2,Trump,Donald,1,45001,Abbeville,100,SC,South Carolina,SC,south carolina,Abbeville,Abbeville County South Carolina,Nonmetropolitan Counties,"24,932",22,0.8824,2,6,NA,0,14,286,118,154,14,3
2,Abbeville SC,8698,SC482511108,Lib,128,1.2,3,Johnson,Gary,0,45001,Abbeville,100,SC,South Carolina,SC,south carolina,Abbeville,Abbeville County South Carolina,Nonmetropolitan Counties,"24,932",22,0.8824,2,6,NA,0,14,286,118,154,14,3
3,Abbeville SC,8696,SC482351108,Dem,3712,34.6,1,Clinton,Hillary,0,45001,Abbeville,100,SC,South Carolina,SC,south carolina,Abbeville,Abbeville County South Carolina,Nonmetropolitan Counties,"24,932",22,0.8824,2,6,NA,0,14,286,118,154,14,3
4,Abbeville SC,8699,SC482531108,Grn,36,0.3,4,Stein,Jill,0,45001,Abbeville,100,SC,South Carolina,SC,south carolina,Abbeville,Abbeville County South Carolina,Nonmetropolitan Counties,"24,932",22,0.8824,2,6,NA,0,14,286,118,154,14,3
5,Acadia LA,4079,LA243521108,GOP,21159,77.3,2,Trump,Donald,1,22001,Acadia,100,LA,Louisiana,LA,louisiana,Acadia,Acadia Parish Louisiana,Metropolitan Counties,"62,577",63,1.0068,1,0,NA,16,46,637,217,379,41,0
6,Acadia LA,4080,LA244551108,Lib,281,1,3,Johnson,Gary,0,22001,Acadia,100,LA,Louisiana,LA,louisiana,Acadia,Acadia Parish Louisiana,Metropolitan Counties,"62,577",63,1.0068,1,0,NA,16,46,637,217,379,41,0
7,Acadia LA,4081,LA244591108,Grn,106,0.4,4,Stein,Jill,0,22001,Acadia,100,LA,Louisiana,LA,louisiana,Acadia,Acadia Parish Louisiana,Metropolitan Counties,"62,577",63,1.0068,1,0,NA,16,46,637,217,379,41,0
8,Acadia LA,4078,LA243511108,Dem,5638,20.6,1,Clinton,Hillary,0,22001,Acadia,100,LA,Louisiana,LA,louisiana,Acadia,Acadia Parish Louisiana,Metropolitan Counties,"62,577",63,1.0068,1,0,NA,16,46,637,217,379,41,0
9,Accomack VA,10649,VA514171108,Grn,62,0.4,4,Stein,Jill,0,51001,Accomack,100,VA,Virginia,VA,virginia,Accomack,Accomack County Virginia,Nonmetropolitan Counties,"32,973",60,1.8197,4,16,NA,19,21,376,110,240,26,0
10,Accomack VA,10646,VA513721108,Dem,6737,42.8,1,Clinton,Hillary,0,51001,Accomack,100,VA,Virginia,VA,virginia,Accomack,Accomack County Virginia,Nonmetropolitan Counties,"32,973",60,1.8197,4,16,NA,19,21,376,110,240,26,0
11,Accomack VA,10648,VA514151108,Lib,262,1.7,3,Johnson,Gary,0,51001,Accomack,100,VA,Virginia,VA,virginia,Accomack,Accomack County Virginia,Nonmetropolitan Counties,"32,973",60,1.8197,4,16,NA,19,21,376,110,240,26,0
12,Accomack VA,10647,VA513731108,GOP,8582,54.5,2,Trump,Donald,1,51001,Accomack,100,VA,Virginia,VA,virginia,Accomack,Accomack County Virginia,Nonmetropolitan Counties,"32,973",60,1.8197,4,16,NA,19,21,376,110,240,26,0
13,Ada ID,1923,ID187181108,GOP,93748,47.9,2,Trump,Donald,1,16001,Ada,100,ID,Idaho,ID,idaho,Ada,Ada County Idaho,Metropolitan Counties,"434,211",196,0.4514,3,41,NA,9,143,716,209,486,21,11
14,Ada ID,1922,ID187171108,Dem,75676,38.7,1,Clinton,Hillary,0,16001,Ada,100,ID,Idaho,ID,idaho,Ada,Ada County Idaho,Metropolitan Counties,"434,211",196,0.4514,3,41,NA,9,143,716,209,486,21,11
15,Ada ID,1925,ID187331108,Ind,3134,1.6,4,Stein,Jill,0,16001,Ada,100,ID,Idaho,ID,idaho,Ada,Ada County Idaho,Metropolitan Counties,"434,211",196,0.4514,3,41,NA,9,143,716,209,486,21,11
16,Ada ID,1924,ID187281108,Lib,9978,5.1,3,Johnson,Gary,0,16001,Ada,100,ID,Idaho,ID,idaho,Ada,Ada County Idaho,Metropolitan Counties,"434,211",196,0.4514,3,41,NA,9,143,716,209,486,21,11
17,Adair IA,2783,IA226271108,GOP,2456,65.3,2,Trump,Donald,1,19001,Adair,100,IA,Iowa,IA,iowa,Adair,Adair County Iowa,Nonmetropolitan Counties,"7,228",7,0.9685,0,0,NA,0,7,49,22,27,0,1
18,Adair IA,2785,IA226341108,Grn,13,0.3,4,Stein,Jill,0,19001,Adair,100,IA,Iowa,IA,iowa,Adair,Adair County Iowa,Nonmetropolitan Counties,"7,228",7,0.9685,0,0,NA,0,7,49,22,27,0,1
19,Adair IA,2782,IA226261108,Dem,1127,30,1,Clinton,Hillary,0,19001,Adair,100,IA,Iowa,IA,iowa,Adair,Adair County Iowa,Nonmetropolitan Counties,"7,228",7,0.9685,0,0,NA,0,7,49,22,27,0,1
20,Adair IA,2784,IA226481108,Lib,125,3.3,3,Johnson,Gary,0,19001,Adair,100,IA,Iowa,IA,iowa,Adair,Adair County Iowa,Nonmetropolitan Counties,"7,228",7,0.9685,0,0,NA,0,7,49,22,27,0,1
21,Adair KY,3599,KY56091108,GOP,6637,80.6,2,Trump,Donald,1,21001,Adair,100,KY,Kentucky,KY,kentucky,Adair,Adair County Kentucky,Nonmetropolitan Counties,"19,027",1,0.0526,0,1,NA,0,0,44,20,18,6,0
22,Adair KY,3601,KY56231108,Grn,35,0.4,4,Stein,Jill,0,21001,Adair,100,KY,Kentucky,KY,kentucky,Adair,Adair County Kentucky,Nonmetropolitan Counties,"19,027",1,0.0526,0,1,NA,0,0,44,20,18,6,0
23,Adair KY,3600,KY56221108,Lib,141,1.7,3,Johnson,Gary,0,21001,Adair,100,KY,Kentucky,KY,kentucky,Adair,Adair County Kentucky,Nonmetropolitan Counties,"19,027",1,0.0526,0,1,NA,0,0,44,20,18,6,0
24,Adair KY,3598,KY54311108,Dem,1323,16.1,1,Clinton,Hillary,0,21001,Adair,100,KY,Kentucky,KY,kentucky,Adair,Adair County Kentucky,Nonmetropolitan Counties,"19,027",1,0.0526,0,1,NA,0,0,44,20,18,6,0
25,Adair MO,5559,MO92281108,GOP,6019,59.4,2,Trump,Donald,1,29001,Adair,100,MO,Missouri,MO,missouri,Adair,Adair County Missouri,Nonmetropolitan Counties,"25,378",9,0.3546,0,2,NA,0,7,105,43,58,4,2
26,Adair MO,5560,MO92301108,Lib,426,4.2,3,Johnson,Gary,0,29001,Adair,100,MO,Missouri,MO,missouri,Adair,Adair County Missouri,Nonmetropolitan Counties,"25,378",9,0.3546,0,2,NA,0,7,105,43,58,4,2
27,Adair MO,5558,MO92271108,Dem,3495,34.5,1,Clinton,Hillary,0,29001,Adair,100,MO,Missouri,MO,missouri,Adair,Adair County Missouri,Nonmetropolitan Counties,"25,378",9,0.3546,0,2,NA,0,7,105,43,58,4,2
28,Adair MO,5561,MO92331108,Grn,147,1.5,4,Stein,Jill,0,29001,Adair,100,MO,Missouri,MO,missouri,Adair,Adair County Missouri,Nonmetropolitan Counties,"25,378",9,0.3546,0,2,NA,0,7,105,43,58,4,2
29,Adair OK,8035,OK453201108,Dem,1374,21.2,3,Clinton,Hillary,0,40001,Adair,100,OK,Oklahoma,OK,oklahoma,Adair,Adair County Oklahoma,Nonmetropolitan Counties,"22,004",84,3.8175,1,4,NA,2,77,201,71,114,16,4
30,Adair OK,8034,OK453211108,Lib,341,5.3,2,Johnson,Gary,0,40001,Adair,100,OK,Oklahoma,OK,oklahoma,Adair,Adair County Oklahoma,Nonmetropolitan Counties,"22,004",84,3.8175,1,4,NA,2,77,201,71,114,16,4
31,Adair OK,8033,OK453221108,GOP,4753,73.5,1,Trump,Donald,1,40001,Adair,100,OK,Oklahoma,OK,oklahoma,Adair,Adair County Oklahoma,Nonmetropolitan Counties,"22,004",84,3.8175,1,4,NA,2,77,201,71,114,16,4
32,Adams CO,862,CO128021108,GOP,73807,42.1,2,Trump,Donald,0,8001,Adams,100,CO,Colorado,CO,colorado,Adams,Adams County Colorado,Metropolitan Counties,"491,337",476,0.9688,6,93,NA,68,309,"2,649",468,"1,518",663,19
33,Adams CO,864,CO128351108,Grn,2248,1.3,5,Stein,Jill,0,8001,Adams,100,CO,Colorado,CO,colorado,Adams,Adams County Colorado,Metropolitan Counties,"491,337",476,0.9688,6,93,NA,68,309,"2,649",468,"1,518",663,19
34,Adams CO,863,CO128341108,Lib,8640,4.9,3,Johnson,Gary,0,8001,Adams,100,CO,Colorado,CO,colorado,Adams,Adams County Colorado,Metropolitan Counties,"491,337",476,0.9688,6,93,NA,68,309,"2,649",468,"1,518",663,19
