,rep_id,party,count,pct,candidate_idx,last,first,fips,name,reporting,state,county_state
1,AL50651108,Dem,5908,24,1,Clinton,Hillary,1001,Autauga,100,AL,Autauga AL
2,AL50631108,GOP,18110,73.4,2,Trump,Donald,1001,Autauga,100,AL,Autauga AL
3,AL51781108,Ind,538,2.2,3,Johnson,Gary,1001,Autauga,100,AL,Autauga AL
4,AL51771108,Ind,105,0.4,4,Stein,Jill,1001,Autauga,100,AL,Autauga AL
5,AL50651108,Dem,18409,19.6,1,Clinton,Hillary,1003,Baldwin,100,AL,Baldwin AL
6,AL50631108,GOP,72780,77.4,2,Trump,Donald,1003,Baldwin,100,AL,Baldwin AL
7,AL51781108,Ind,2448,2.6,3,Johnson,Gary,1003,Baldwin,100,AL,Baldwin AL
8,AL51771108,Ind,453,0.5,4,Stein,Jill,1003,Baldwin,100,AL,Baldwin AL
9,AL50651108,Dem,4848,46.7,1,Clinton,Hillary,1005,Barbour,100,AL,Barbour AL
10,AL50631108,GOP,5431,52.3,2,Trump,Donald,1005,Barbour,100,AL,Barbour AL
11,AL51781108,Ind,93,0.9,3,Johnson,Gary,1005,Barbour,100,AL,Barbour AL
12,AL51771108,Ind,18,0.2,4,Stein,Jill,1005,Barbour,100,AL,Barbour AL
13,AL50651108,Dem,1874,21.4,1,Clinton,Hillary,1007,Bibb,100,AL,Bibb AL
14,AL50631108,GOP,6733,77,2,Trump,Donald,1007,Bibb,100,AL,Bibb AL
15,AL51781108,Ind,124,1.4,3,Johnson,Gary,1007,Bibb,100,AL,Bibb AL
16,AL51771108,Ind,17,0.2,4,Stein,Jill,1007,Bibb,100,AL,Bibb AL
17,AL50651108,Dem,2150,8.5,1,Clinton,Hillary,1009,Blount,100,AL,Blount AL
18,AL50631108,GOP,22808,89.9,2,Trump,Donald,1009,Blount,100,AL,Blount AL
19,AL51781108,Ind,337,1.3,3,Johnson,Gary,1009,Blount,100,AL,Blount AL
20,AL51771108,Ind,89,0.4,4,Stein,Jill,1009,Blount,100,AL,Blount AL
21,AL50651108,Dem,3530,75.1,1,Clinton,Hillary,1011,Bullock,100,AL,Bullock AL
22,AL50631108,GOP,1139,24.2,2,Trump,Donald,1011,Bullock,100,AL,Bullock AL
23,AL51781108,Ind,22,0.5,3,Johnson,Gary,1011,Bullock,100,AL,Bullock AL
24,AL51771108,Ind,10,0.2,4,Stein,Jill,1011,Bullock,100,AL,Bullock AL
25,AL50651108,Dem,3716,42.8,1,Clinton,Hillary,1013,Butler,100,AL,Butler AL
26,AL50631108,GOP,4891,56.3,2,Trump,Donald,1013,Butler,100,AL,Butler AL
27,AL51781108,Ind,65,0.7,3,Johnson,Gary,1013,Butler,100,AL,Butler AL
28,AL51771108,Ind,13,0.1,4,Stein,Jill,1013,Butler,100,AL,Butler AL
29,AL50651108,Dem,13197,27.9,1,Clinton,Hillary,1015,Calhoun,100,AL,Calhoun AL
