STATE,STATE_LOWER,COUNTY,COUNTY_STATE,METRO_FLAG,POULATION,VIOLENT_CRIME,CRIMES_PER_THOUSAND,MURDER_NON_NEGLIGENT_MANSLAUGHTER,RAPE_REVISED_DEFINITION,RAPE_LEGACTY_DEFINITION,ROBBERY,AGGRAVATED_ASSAULT,PROPERTY_CRIME,BURGLARY,LARCENY_THEFT,MOTOR_VEHICLE_THEFT,ARSON
California,california,Los Angeles,Los Angeles County California,Metropolitan Counties,"10,170,292","5,173",0.5086,98,304,,"1,212","3,559","16,301","3,739","8,359","4,203",215
Illinois,illinois,Cook,Cook County Illinois,Metropolitan Counties,"5,238,216",188,0.0359,0,25,,42,121,941,272,638,31,9
Texas,texas,Harris,Harris County Texas,Metropolitan Counties,"4,538,028","9,209",2.0293,89,454,,"3,452","5,214","45,700","9,966","29,300","6,434",194
Arizona,arizona,Maricopa,Maricopa County Arizona,Metropolitan Counties,"4,167,947","1,053",0.2526,20,26,,123,884,"5,188","1,270","3,321",597,33
California,california,San Diego,San Diego County California,Metropolitan Counties,"3,299,521","1,161",0.3519,10,110,,161,880,"4,784","1,153","2,843",788,41
California,california,Orange,Orange County California,Metropolitan Counties,"3,169,776",213,0.0672,2,12,,28,171,"1,265",244,879,142,11
Florida,florida,Miami-Dade,Miami-Dade County Florida,Metropolitan Counties,"2,693,117","6,179",2.2944,86,379,,"1,661","4,053","36,917","5,380","28,314","3,223",25
Texas,texas,Dallas,Dallas County Texas,Metropolitan Counties,"2,553,385",25,0.0098,0,6,,3,16,292,79,179,34,0
California,california,Riverside,Riverside County California,Metropolitan Counties,"2,361,026",885,0.3748,12,38,,172,663,"7,680","1,880","4,321","1,479",18
California,california,San Bernardino,San Bernardino County California,Metropolitan Counties,"2,128,133",920,0.4323,18,91,,141,670,"5,527","1,719","2,583","1,225",62
Washington,washington,King,King County Washington,Metropolitan Counties,"2,117,125",378,0.1785,9,,74,85,210,"4,557","1,541","2,319",697,52
Texas,texas,Tarrant,Tarrant County Texas,Metropolitan Counties,"1,982,498",95,0.0479,0,23,,11,61,922,281,580,61,13
California,california,Santa Clara,Santa Clara County California,Metropolitan Counties,"1,918,044",232,0.121,4,36,,24,168,"1,358",261,899,198,3
Texas,texas,Bexar,Bexar County Texas,Metropolitan Counties,"1,897,753",544,0.2867,14,114,,98,318,"6,177","1,486","4,307",384,68
Florida,florida,Broward,Broward County Florida,Metropolitan Counties,"1,896,425",261,0.1376,7,30,,56,168,798,142,572,84,3
Michigan,michigan,Wayne,Wayne County Michigan,Metropolitan Counties,"1,759,335",0,0,0,0,,0,0,0,0,0,0,0
California,california,Alameda,Alameda County California,Metropolitan Counties,"1,638,215",510,0.3113,6,13,,177,314,"2,077",463,985,629,11
New York,new york,Suffolk,Suffolk County New York,Metropolitan Counties,"1,501,587",59,0.0393,0,,0,0,59,0,0,0,0,0
New York,new york,Suffolk County Police Department,Suffolk County New York,Metropolitan Counties,"1,501,587","1,675",1.1155,24,79,,677,895,"19,196","2,109","15,906","1,181",129
California,california,Sacramento,Sacramento County California,Metropolitan Counties,"1,501,335","3,117",2.0762,37,155,,"1,026","1,899","11,164","3,690","7,348",126,31
Florida,florida,Palm Beach,Palm Beach County Florida,Metropolitan Counties,"1,422,789","1,989",1.398,25,231,,447,"1,286","12,732","2,832","8,908",992,41
New York,new york,Nassau,Nassau County New York,Metropolitan Counties,"1,361,350","1,318",0.9682,13,68,,555,682,"11,396","1,311","9,596",489,97
Florida,florida,Hillsborough,Hillsborough County Florida,Metropolitan Counties,"1,349,050","2,031",1.5055,33,194,,371,"1,433","15,521","3,127","11,342","1,052",36
Florida,florida,Orange,Orange County Florida,Metropolitan Counties,"1,288,126","5,473",4.2488,53,520,,"1,405","3,495","26,313","6,700","17,384","2,229",0
Michigan,michigan,Oakland,Oakland County Michigan,Metropolitan Counties,"1,242,304",21,0.0169,0,7,,0,14,62,15,39,8,9
Pennsylvania,pennsylvania,Allegheny,Allegheny County Pennsylvania,Metropolitan Counties,"1,230,459",5,0.0041,0,0,,3,2,2,1,1,0,0
Pennsylvania,pennsylvania,Allegheny County Police Department,Allegheny County Pennsylvania,Metropolitan Counties,"1,230,459",52,0.0423,0,3,,1,48,185,0,158,27,98
Minnesota,minnesota,Hennepin,Hennepin County Minnesota,Metropolitan Counties,"1,223,149",33,0.027,0,2,,1,30,70,3,65,2,0
Texas,texas,Travis,Travis County Texas,Metropolitan Counties,"1,176,558",613,0.521,4,61,,56,492,"3,129",840,"2,074",215,23
Virginia,virginia,Fairfax County Police Department,Fairfax County Virginia,Metropolitan Counties,"1,142,234",974,0.8527,14,130,,443,387,"14,434",827,"12,865",742,39
California,california,Contra Costa,Contra Costa County California,Metropolitan Counties,"1,126,745",426,0.3781,14,24,,153,235,"2,013",660,"1,332",21,18
Utah,utah,Salt Lake County Unified Police Department,Salt Lake County Utah,Metropolitan Counties,"1,107,314",818,0.7387,8,136,,210,464,"12,055","1,710","8,837","1,508",35
Maryland,maryland,Montgomery,Montgomery County Maryland,Metropolitan Counties,"1,040,116",0,0,0,0,,0,0,0,0,0,0,0
Maryland,maryland,Montgomery County Police Department,Montgomery County Maryland,Metropolitan Counties,"1,040,116","1,964",1.8883,29,269,,606,"1,060","15,761","1,812","13,217",732,42
North Carolina,north carolina,Wake,Wake County North Carolina,Metropolitan Counties,"1,024,198",137,0.1338,1,,9,22,105,"1,774",632,"1,017",125,8
Georgia,georgia,Fulton,Fulton County Georgia,Metropolitan Counties,"1,010,562",3,0.003,0,,0,0,3,3,0,3,0,0
Georgia,georgia,Fulton County Police Department,Fulton County Georgia,Metropolitan Counties,"1,010,562",988,0.9777,14,,36,420,518,"5,828","1,226","3,724",878,
Arizona,arizona,Pima,Pima County Arizona,Metropolitan Counties,"1,010,025",566,0.5604,10,76,,149,331,"9,143","1,623","7,006",514,57
Missouri,missouri,St. Louis County Police Department,St. Louis County Missouri,Metropolitan Counties,"1,003,362","1,533",1.5279,28,175,,402,928,"7,721","1,572","5,531",618,51
New York,new york,Westchester Public Safety,Westchester County New York,Metropolitan Counties,"976,396",6,0.0061,1,,0,2,3,150,8,137,5,3
California,california,Fresno,Fresno County California,Metropolitan Counties,"974,861",962,0.9868,8,32,,112,810,"3,810","1,398","1,838",574,145
Wisconsin,wisconsin,Milwaukee,Milwaukee County Wisconsin,Metropolitan Counties,"957,735",58,0.0606,0,5,,9,44,171,5,105,61,1
Florida,florida,Pinellas,Pinellas County Florida,Metropolitan Counties,"949,827",887,0.9339,5,136,,154,592,"6,011","1,058","4,549",404,26
New Jersey,new jersey,Bergen,Bergen County New Jersey,Metropolitan Counties,"938,506",0,0,0,0,,0,0,0,0,0,0,0
New Jersey,new jersey,Bergen County Police Department,Bergen County New Jersey,Metropolitan Counties,"938,506",7,0.0075,0,0,,0,7,57,3,53,1,0
Tennessee,tennessee,Shelby,Shelby County Tennessee,Metropolitan Counties,"938,069",464,0.4946,1,23,,85,355,"2,653",789,"1,692",172,10
Illinois,illinois,DuPage,DuPage County Illinois,Metropolitan Counties,"933,736",62,0.0664,2,6,,14,40,755,153,572,30,4
New York,new york,Erie4,Erie County New York,Metropolitan Counties,"922,578",77,0.0835,0,2,,12,63,857,189,646,22,3
Texas,texas,Collin,Collin County Texas,Metropolitan Counties,"914,127",79,0.0864,0,14,,4,61,392,122,221,49,1
Maryland,maryland,Prince George's ,Prince George's County Maryland,Metropolitan Counties,"909,535",53,0.0583,0,0,,0,53,0,0,0,0,0
Maryland,maryland,Prince George's County Police Department,Prince George's County Maryland,Metropolitan Counties,"909,535","3,256",3.5799,66,248,,"1,359","1,583","16,424","2,796","10,772","2,856",116
Georgia,georgia,Gwinnett County Police Department,Gwinnett County Georgia,Metropolitan Counties,"895,823","1,578",1.7615,22,,113,714,729,"13,906","2,915","9,681","1,310",39
California,california,Kern,Kern County California,Metropolitan Counties,"882,176","2,235",2.5335,31,157,,360,"1,687","9,903","3,243","4,777","1,883",300
Michigan,michigan,Macomb,Macomb County Michigan,Metropolitan Counties,"864,840",272,0.3145,3,39,,43,187,"1,412",202,"1,117",93,8
California,california,Ventura,Ventura County California,Metropolitan Counties,"850,536",169,0.1987,3,32,,16,118,849,236,530,83,15
Washington,washington,Pierce,Pierce County Washington,Metropolitan Counties,"843,954","1,103",1.3069,16,125,,225,737,"8,392","2,896","4,470","1,026",50
Texas,texas,Hidalgo,Hidalgo County Texas,Metropolitan Counties,"842,304",684,0.8121,17,122,,129,416,"4,519","1,517","2,699",303,28
New Jersey,new jersey,Middlesex,Middlesex County New Jersey,Metropolitan Counties,"840,900",0,0,0,0,,0,0,0,0,0,0,0
Texas,texas,El Paso,El Paso County Texas,Metropolitan Counties,"835,593",329,0.3937,6,40,,15,268,907,246,562,99,13
Maryland,maryland,Baltimore County,Baltimore County Maryland,Metropolitan Counties,"831,128",0,0,0,0,,0,0,0,0,0,0,0
Pennsylvania,pennsylvania,Montgomery,Montgomery County Pennsylvania,Metropolitan Counties,"819,264",0,0,0,0,,0,0,0,0,0,0,0
Ohio,ohio,Hamilton,Hamilton County Ohio,Metropolitan Counties,"807,598",203,0.2514,6,0,45,66,86,"4,151",752,"3,223",176,13
New Jersey,new jersey,Essex,Essex County New Jersey,Metropolitan Counties,"797,434",91,0.1141,0,1,,40,50,77,15,61,1,0
Texas,texas,Denton,Denton County Texas,Metropolitan Counties,"780,612",79,0.1012,0,17,,5,57,523,124,359,40,2
Oklahoma,oklahoma,Oklahoma,Oklahoma County Oklahoma,Metropolitan Counties,"776,864",22,0.0283,0,2,,1,19,190,47,113,30,1
Washington,washington,"Snohomish4, 7",Snohomish County Washington,Metropolitan Counties,"772,501",476,0.6162,6,75,,109,286,"6,373","1,918","3,526",929,53
California,california,San Mateo,San Mateo County California,Metropolitan Counties,"765,135",330,0.4313,3,53,,90,184,"2,796",467,"1,953",376,15
New York,new york,Monroe,Monroe County New York,Metropolitan Counties,"749,600",203,0.2708,2,50,,37,114,"3,119",413,"2,593",113,9
Georgia,georgia,Cobb,Cobb County Georgia,Metropolitan Counties,"741,334",113,0.1524,0,,1,4,108,34,5,29,0,0
Georgia,georgia,Cobb County Police Department,Cobb County Georgia,Metropolitan Counties,"741,334","1,208",1.6295,17,,107,445,639,"11,982","2,410","8,702",870,37
Georgia,georgia,DeKalb,DeKalb County Georgia,Metropolitan Counties,"734,871",0,0,0,,0,0,0,0,0,0,0,
Georgia,georgia,DeKalb County Police Department,DeKalb County Georgia,Metropolitan Counties,"734,871","3,583",4.8757,70,,143,"1,820","1,550","24,255","6,823","13,719","3,713",129
California,california,San Joaquin,San Joaquin County California,Metropolitan Counties,"726,106",845,1.1637,5,18,,161,661,"3,564","1,039","2,381",144,30
